Number of Attributes for Data Set: ,5,
Number of Instances in Data Set: ,625,
Number of Classes in Data Set: ,3,
Sample size: ,1500,
,,
,,
Count per Level,,
Level,0 f(-1.0 -> -0.8),0
Level,1 f(-0.8 -> -0.6),0
Level,2 f(-0.6 -> -0.4),0
Level,3 f(-0.4 -> -0.2),0
Level,4 f(-0.2 -> 0.0),0
Level,5 f(0.0 -> 0.2),347
Level,6 f(0.2 -> 0.4),745
Level,7 f(0.4 -> 0.6),314
Level,8 f(0.6 -> 0.8),94
Level,9 f(0.8 -> 1.0),0
HDIL,,
,,
,,
Level ,0 f(-1.0 -> -0.8),0
Level ,1 f(-0.8 -> -0.6),0
Level ,2 f(-0.6 -> -0.4),0
Level ,3 f(-0.4 -> -0.2),0
Level ,4 f(-0.2 -> 0.0),0
Level ,5 f(0.0 -> 0.2),3.871180726
Level ,6 f(0.2 -> 0.4),3.007563623
Level ,7 f(0.4 -> 0.6),3.680473853
Level ,8 f(0.6 -> 0.8),5
Level ,9 f(0.8 -> 1.0),0
