Number of Attributes for Data Set: ,10,
Number of Instances in Data Set: ,699,
Number of Classes in Data Set: ,2,
Sample size: ,3000,
,,
,,
Count per Level,,
Level,0 f(-1.0 -> -0.8),0
Level,1 f(-0.8 -> -0.6),0
Level,2 f(-0.6 -> -0.4),0
Level,3 f(-0.4 -> -0.2),0
Level,4 f(-0.2 -> 0.0),0
Level,5 f(0.0 -> 0.2),9
Level,6 f(0.2 -> 0.4),0
Level,7 f(0.4 -> 0.6),12
Level,8 f(0.6 -> 0.8),55
Level,9 f(0.8 -> 1.0),2924
HDIL,,
,,
,,
Level ,0 f(-1.0 -> -0.8),0
Level ,1 f(-0.8 -> -0.6),0
Level ,2 f(-0.6 -> -0.4),0
Level ,3 f(-0.4 -> -0.2),0
Level ,4 f(-0.2 -> 0.0),0
Level ,5 f(0.0 -> 0.2),10
Level ,6 f(0.2 -> 0.4),0
Level ,7 f(0.4 -> 0.6),9.027777778
Level ,8 f(0.6 -> 0.8),7.676694215
Level ,9 f(0.8 -> 1.0),5.526557655
