Baseline;;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;
colic,arff;0,56521739;0,5736;0,7310;0,7886;0,7500;0,7826;0,6413;0,6848;
vote,arff;0,92626728;0,8882;0,9501;0,9576;0,9493;0,9539;0,9447;0,9447;
urbanland,arff;0,77448071;0,7791;0,8393;0,8484;0,8516;0,8516;0,8457;0,8427;
lung-cancer,arff;0,62500000;0,5854;0,8021;0,8500;0,7500;0,5625;0,6875;0,6875;
primary-tumor,arff;0,40828402;0,3219;0,3961;0,4406;0,4438;0,4142;0,4142;0,4379;
heart-c,arff;0,82119205;0,7386;0,8214;0,8704;0,8808;0,8212;0,8609;0,8609;
breast-cancer,arff;0,72027972;0,7084;0,7618;0,7709;0,7552;0,7692;0,7483;0,7343;
solar-flare,arff;0,98136646;0,9803;0,9814;0,9814;0,9814;0,9814;0,9814;0,9814;
sponge,arff;0,84210526;0,8421;0,8421;0,8421;0,8421;0,8421;0,8421;0,8421;
flags,arff;0,54639175;0,4749;0,6436;0,6842;0,7010;0,6392;0,6289;0,6289;
heart-h,arff;0,27891156;0,2789;0,2789;0,2789;0,2789;0,2789;0,2789;0,2789;
zoo,arff;0,82000000;0,7813;0,8513;0,8900;0,9000;0,7800;0,8400;0,8800;
lymph,arff;0,75675676;0,6982;0,8252;0,8676;0,8378;0,8243;0,8108;0,8649;
autos,arff;0,30392157;0,2873;0,5046;0,5183;0,5098;0,4902;0,4510;0,3824;
breast-w,arff;0,98280802;0,9652;0,9832;0,9853;0,9828;0,9799;0,9828;0,9828;
synthetic-control,arff;0E-8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
sonar,arff;0,02884615;0,0240;0,1772;0,1442;0,1058;0,1923;0,0673;0,0481;
credit-a,arff;0,80869565;0,6863;0,9027;0,9096;0,8957;0,8986;0,8986;0,8986;
dermatology,arff;0,92349727;0,8177;0,9248;0,9639;0,9563;0,9563;0,9399;0,9344;
cylinder-bands,arff;0,55185185;0,5402;0,6125;0,6646;0,6778;0,6963;0,6259;0,6000;
audiology,arff;0,50442478;0,4147;0,6115;0,6419;0,6283;0,6018;0,6018;0,5929;
labor,arff;0,75000000;0,6798;0,8524;0,9036;0,8929;0,8214;0,7857;0,8929;
hepatitis,arff;0,67532468;0,6766;0,7545;0,7667;0,7662;0,7792;0,7403;0,7013;
heart-statlog,arff;0,80000000;0,7580;0,8583;0,8689;0,8519;0,8593;0,8593;0,8593;
soybean,arff;0,86510264;0,7347;0,8177;0,8771;0,8827;0,8211;0,8651;0,8651;
Hill_Valley_sample,arff;0,53465347;0,5430;0,5788;0,6112;0,6139;0,6040;0,5710;0,5743;
glass,arff;0,58878505;0,5754;0,6866;0,7146;0,7196;0,6822;0,6542;0,6355;
ionosphere,arff;0,93714286;0,9349;0,9758;0,9836;0,9829;0,9486;0,9714;0,9657;
molecular-biology,arff;0,28301887;0,2415;0,4421;0,4742;0,4340;0,4717;0,3962;0,3585;
